resposta,char1,char2,MSE,ISS,MSE_centro,ISS_centro,MSE_canny,ISS_canny,MSE_canny_centro,ISS_canny_centro,MSE_skeleton,ISS_skeleton,MSE_skeleton_centro,ISS_skeleton_centro
1,letras/caracter561.png,letras/caracter559.png,38903.5285714,0.522767040341,64839.2142857,0.258360795438,0.174857142857,0.440205556722,0.18380952381,0.263208219574,0.0965714285714,0.556942330158,0.160952380952,0.262561266502
1,letras/caracter561.png,letras/caracter566.png,51053.9142857,0.391198744779,75429.0,0.205503854427,0.204,0.322162138659,0.169523809524,0.329117426683,0.132571428571,0.356180821109,0.182857142857,0.178493842497
1,letras/caracter561.png,letras/caracter556.png,53060.4,0.380941914972,81559.9285714,0.15719170355,0.197714285714,0.339986084149,0.2,0.230150725455,0.132,0.388639916069,0.195238095238,0.16661759172
1,letras/caracter561.png,letras/caracter560.png,38903.5285714,0.490252385492,61309.2857143,0.256096664499,0.165714285714,0.447060383479,0.171428571429,0.277724114989,0.101142857143,0.524768925764,0.164761904762,0.240230819071
1,letras/caracter561.png,letras/caracter555.png,30877.5857143,0.61212784857,51462.6428571,0.32986997348,0.151428571429,0.511387859368,0.168571428571,0.307719629664,0.092,0.577522716095,0.153333333333,0.242788537228
1,letras/caracter561.png,letras/caracter571.png,54398.0571429,0.407945834993,73385.3571429,0.210072412814,0.196571428571,0.351321458121,0.160952380952,0.313445009357,0.141142857143,0.401544543614,0.184761904762,0.193541442905
1,letras/caracter561.png,letras/caracter557.png,35670.8571429,0.640487477001,59451.4285714,0.419604270235,0.177714285714,0.441215790582,0.167619047619,0.375336964285,0.129142857143,0.484688249107,0.215238095238,0.0842904305923
1,letras/caracter561.png,letras/caracter564.png,44105.5285714,0.474539171656,71341.7142857,0.199312333566,0.142857142857,0.487199180259,0.186666666667,0.272896713281,0.0977142857143,0.521818694199,0.162857142857,0.214517318877
1,letras/caracter561.png,letras/caracter567.png,35782.3285714,0.552646174501,55178.3571429,0.409384679744,0.190285714286,0.380636824135,0.177142857143,0.310022003345,0.109142857143,0.479688623463,0.16380952381,0.258178520096
1,letras/caracter561.png,letras/caracter568.png,49716.2571429,0.424870035274,78030.0,0.296331849585,0.243428571429,0.253737327435,0.189523809524,0.354815683786,0.160571428571,0.339587568768,0.250476190476,0.0961220762749
1,letras/caracter561.png,letras/caracter565.png,46149.1714286,0.406223910795,66139.7142857,0.261816069333,0.204571428571,0.26388413592,0.182857142857,0.299687047386,0.121714285714,0.421136659063,0.166666666667,0.291771148357
1,letras/caracter561.png,letras/caracter570.png,55958.6571429,0.405878554666,81188.3571429,0.214830409789,0.189142857143,0.353143499927,0.164761904762,0.340227465927,0.132,0.410177097238,0.190476190476,0.221850278854
1,letras/caracter561.png,letras/caracter569.png,60528.9857143,0.312966363584,87690.8571429,0.149029597726,0.212,0.2594419423,0.169523809524,0.352319172324,0.154285714286,0.296147579707,0.212380952381,0.0455348618681
1,letras/caracter561.png,letras/caracter562.png,34333.2,0.57067753322,57222.0,0.302782090227,0.168571428571,0.479443014348,0.17619047619,0.317323936467,0.0971428571429,0.563386968639,0.161904761905,0.248576491652
1,letras/caracter561.png,letras/caracter563.png,64987.8428571,0.247049865542,90106.0714286,0.1596895178,0.256,0.16035043155,0.187619047619,0.344735427221,0.171428571429,0.18132411785,0.226666666667,0.0745951943282
1,letras/caracter561.png,letras/caracter558.png,42024.7285714,0.55086634822,61495.0714286,0.439711087708,0.188571428571,0.39473731701,0.159047619048,0.34281085144,0.129142857143,0.447911666168,0.184761904762,0.286807712646
1,letras/caracter271.png,letras/caracter282.png,57519.2571429,0.332297193323,76357.9285714,0.258207298978,0.265714285714,0.202742532124,0.198095238095,0.193336740263,0.164571428571,0.278646064367,0.208571428571,0.172291500722
1,letras/caracter271.png,letras/caracter281.png,43659.6428571,0.420799579131,60008.7857143,0.40746379063,0.264571428571,0.128077018443,0.191428571429,0.236640995115,0.150285714286,0.25883104572,0.225714285714,0.136504727224
1,letras/caracter271.png,letras/caracter273.png,51165.3857143,0.404285251052,77844.2142857,0.214396470358,0.197714285714,0.326565074163,0.199047619048,0.131529984813,0.116571428571,0.405177339777,0.167619047619,0.204559141564
1,letras/caracter271.png,letras/caracter276.png,38792.0571429,0.528388497774,57222.0,0.421940796127,0.192571428571,0.368120948095,0.172380952381,0.293506194126,0.110285714286,0.50055973376,0.157142857143,0.37450486261
1,letras/caracter271.png,letras/caracter275.png,48378.6,0.451222218425,73199.5714286,0.294509850407,0.18,0.382309466169,0.18,0.172170758064,0.109142857143,0.433789301201,0.155238095238,0.265407529291
1,letras/caracter271.png,letras/caracter278.png,48267.1285714,0.512327262818,65953.9285714,0.412278500663,0.218857142857,0.311460566044,0.192380952381,0.210564543252,0.138857142857,0.383024765803,0.178095238095,0.259117480787
1,letras/caracter271.png,letras/caracter279.png,55958.6571429,0.290717093706,76172.1428571,0.243270822846,0.240571428571,0.121384197259,0.205714285714,0.086592001574,0.146857142857,0.236203999741,0.184761904762,0.200533444433
1,letras/caracter271.png,letras/caracter280.png,47263.8857143,0.446934773673,71155.9285714,0.254632658055,0.230285714286,0.266175022428,0.221904761905,0.107189741992,0.147428571429,0.34655260585,0.218095238095,0.11962928432
1,letras/caracter271.png,letras/caracter274.png,44700.0428571,0.494125609721,67068.6428571,0.35349160055,0.208571428571,0.324645587731,0.168571428571,0.24505967196,0.129714285714,0.410719322982,0.189523809524,0.206198719397
1,letras/caracter271.png,letras/caracter272.png,54918.2571429,0.388155841722,81931.5,0.204403596416,0.182857142857,0.36868381134,0.231428571429,0.0364954997056,0.121714285714,0.396098498546,0.17619047619,0.190452553763
1,letras/caracter271.png,letras/caracter277.png,43696.8,0.480531355533,65396.5714286,0.32093763203,0.189714285714,0.352192835727,0.218095238095,0.107406510846,0.118285714286,0.437155050374,0.170476190476,0.266213681948
1,letras/caracter327.png,letras/caracter328.png,35447.9142857,0.574443171088,54621.0,0.446575684972,0.198857142857,0.356320996722,0.169523809524,0.414801845262,0.133714285714,0.374700723196,0.213333333333,0.111083862139
1,letras/caracter327.png,letras/caracter334.png,43585.3285714,0.429386851784,66325.5,0.292879138068,0.221142857143,0.256309081593,0.214285714286,0.275898831423,0.127428571429,0.36490097174,0.189523809524,0.190367315264
1,letras/caracter327.png,letras/caracter339.png,41913.2571429,0.44540744387,42916.5,0.534523784081,0.239428571429,0.167690198904,0.139047619048,0.480812364542,0.145142857143,0.28759803813,0.167619047619,0.326330203168
1,letras/caracter327.png,letras/caracter337.png,32549.6571429,0.567506571115,44402.7857143,0.503789335088,0.208571428571,0.310832605091,0.178095238095,0.381552241821,0.102285714286,0.476165289543,0.134285714286,0.360272827695
1,letras/caracter327.png,letras/caracter333.png,27496.2857143,0.647917480098,41801.7857143,0.498135854914,0.145142857143,0.471117785363,0.138095238095,0.488930976309,0.1,0.49723842489,0.162857142857,0.204851652785
1,letras/caracter327.png,letras/caracter330.png,47040.9428571,0.473467211739,76543.7142857,0.251157401559,0.196,0.349390411886,0.220952380952,0.254057849299,0.122285714286,0.428744637573,0.2,0.133687313937
1,letras/caracter327.png,letras/caracter331.png,40910.0142857,0.479842681795,48118.5,0.473396782268,0.231428571429,0.267136121277,0.185714285714,0.383158738272,0.141142857143,0.367832100568,0.173333333333,0.275467162229
1,letras/caracter327.png,letras/caracter329.png,55847.1857143,0.417581715803,84346.7142857,0.242841785984,0.205714285714,0.319623941169,0.185714285714,0.312974701504,0.124571428571,0.439873747011,0.189523809524,0.295368606694
1,letras/caracter327.png,letras/caracter336.png,46260.6428571,0.350899555966,62795.5714286,0.306450972431,0.259428571429,0.141539014776,0.20380952381,0.308761804571,0.139428571429,0.249845259179,0.187619047619,0.149235727766
1,letras/caracter327.png,letras/caracter332.png,50013.5142857,0.393438944142,75986.3571429,0.17650786671,0.176,0.41767167653,0.197142857143,0.24798115627,0.119428571429,0.466387416775,0.182857142857,0.21881750676
1,letras/caracter327.png,letras/caracter340.png,53060.4,0.317574617718,67626.0,0.299643729028,0.251428571429,0.175992269368,0.187619047619,0.364326566849,0.144,0.317680545003,0.179047619048,0.245822172063
1,letras/caracter327.png,letras/caracter326.png,35893.8,0.558649262978,57593.5714286,0.374623755283,0.202857142857,0.343797514147,0.212380952381,0.229218914317,0.112,0.486648660886,0.182857142857,0.214688367842
1,letras/caracter327.png,letras/caracter338.png,44142.6857143,0.40027147338,64096.0714286,0.315011806831,0.230857142857,0.200241684811,0.184761904762,0.326367145944,0.123428571429,0.354756399147,0.175238095238,0.224051169849
1,letras/caracter327.png,letras/caracter335.png,31546.4142857,0.551138828784,42359.1428571,0.467256148981,0.198857142857,0.31118363815,0.161904761905,0.414077188788,0.117714285714,0.436333474349,0.167619047619,0.236805923605
1,letras/caracter434.png,letras/caracter437.png,43473.8571429,0.458959290442,59637.2142857,0.335527600332,0.244571428571,0.25073858923,0.147619047619,0.381660994888,0.154285714286,0.288689608339,0.209523809524,0.126211215553
1,letras/caracter434.png,letras/caracter422.png,56738.9571429,0.420067746795,73571.1428571,0.289194276368,0.237714285714,0.247259194681,0.142857142857,0.447678727202,0.159428571429,0.304624619408,0.194285714286,0.12899642826
1,letras/caracter434.png,letras/caracter423.png,44254.1571429,0.549391465751,70227.0,0.339204641212,0.170857142857,0.415755884913,0.135238095238,0.442171822447,0.105142857143,0.503511000919,0.160952380952,0.2322086951
1,letras/caracter434.png,letras/caracter435.png,53952.1714286,0.327352476205,75800.5714286,0.222023241242,0.252,0.154821064321,0.198095238095,0.290714007711,0.169142857143,0.206281307792,0.24,0.0465460197545
1,letras/caracter434.png,letras/caracter436.png,29762.8714286,0.570946086786,46260.6428571,0.44228064363,0.179428571429,0.362680753712,0.159047619048,0.439513185503,0.125142857143,0.398663037981,0.195238095238,0.167838378387
1,letras/caracter434.png,letras/caracter426.png,33887.3142857,0.493777157523,49604.7857143,0.402531858693,0.202285714286,0.336802583926,0.152380952381,0.467019707141,0.126857142857,0.387746338219,0.187619047619,0.210690586869
1,letras/caracter434.png,letras/caracter430.png,43250.9142857,0.43667150275,65210.7857143,0.322722063394,0.194857142857,0.277404773016,0.148571428571,0.433901676074,0.123428571429,0.353480216422,0.18380952381,0.16489775831
1,letras/caracter434.png,letras/caracter439.png,44700.0428571,0.473342249972,60380.3571429,0.344547875192,0.217142857143,0.282702159642,0.147619047619,0.40058291987,0.129714285714,0.376065800015,0.168571428571,0.191281191362
1,letras/caracter434.png,letras/caracter431.png,47709.7714286,0.466679095968,50905.2857143,0.43438322436,0.233142857143,0.242492169943,0.14,0.318021132488,0.152571428571,0.363026694442,0.153333333333,0.266185983597
1,letras/caracter434.png,letras/caracter425.png,41021.4857143,0.472230743751,63167.1428571,0.304193451957,0.194285714286,0.322213380749,0.154285714286,0.426913471455,0.114857142857,0.420574369671,0.171428571429,0.19538553094
1,letras/caracter434.png,letras/caracter433.png,44700.0428571,0.479575727724,71155.9285714,0.212059497447,0.173142857143,0.394619871025,0.159047619048,0.280068198634,0.129142857143,0.443471432178,0.201904761905,0.116598617183
1,letras/caracter434.png,letras/caracter420.png,57184.8428571,0.396358891217,89920.2857143,0.237108183201,0.194285714286,0.306767323388,0.177142857143,0.393244788444,0.133142857143,0.343765641466,0.205714285714,0.0740760428122
1,letras/caracter434.png,letras/caracter421.png,42470.6142857,0.538961094707,67440.2142857,0.344617348282,0.182285714286,0.385620823596,0.172380952381,0.36743981284,0.119428571429,0.458885336255,0.185714285714,0.159644250784
