resposta,char1,char2,MSE,ISS,MSE_centro,ISS_centro,MSE_canny,ISS_canny,MSE_canny_centro,ISS_canny_centro,MSE_skeleton,ISS_skeleton,MSE_skeleton_centro,ISS_skeleton_centro,imgA_mean,imgB_mean,imgA_var,imgB_var,imgA_entropy,imgB_entropy
1,../letras/caracter585.png,../letras/caracter573.png,12856.3714286,0.457586506293,19879.0714286,0.2259484378,0.164,0.441096335936,0.187619047619,0.323889367728,0.0885714285714,0.531481586169,0.133333333333,0.333151932939,0.0914285714286,0.148571428571,0.0830693877551,0.126497959184,0.0123121590934,0.0123121590934
1,../letras/caracter585.png,../letras/caracter588.png,5945.14285714,0.713823436263,9908.57142857,0.557542873541,0.105142857143,0.653731529358,0.166666666667,0.492075266456,0.0577142857143,0.734601400848,0.0961904761905,0.573637548054,0.0914285714286,0.0685714285714,0.0830693877551,0.0638693877551,0.0123121590934,0.0123121590934
1,../letras/caracter585.png,../letras/caracter571.png,11035.6714286,0.553773975005,18021.2142857,0.30668901026,0.150285714286,0.517921057338,0.215238095238,0.266248789684,0.0782857142857,0.636587921115,0.130476190476,0.428163743355,0.0914285714286,0.113714285714,0.0830693877551,0.100783346939,0.0123121590934,0.0123121590934
1,../letras/caracter585.png,../letras/caracter569.png,5907.98571429,0.692535522105,9846.64285714,0.493181466559,0.096,0.656969713104,0.153333333333,0.508713025742,0.0628571428571,0.687234974944,0.104761904762,0.474577310387,0.0914285714286,0.0874285714286,0.0830693877551,0.0797848163265,0.0123121590934,0.0123121590934
1,../letras/caracter585.png,../letras/caracter578.png,8992.02857143,0.590552822498,14181.6428571,0.392400025197,0.122285714286,0.581727895861,0.187619047619,0.373498087853,0.0742857142857,0.644489886255,0.12,0.464462163495,0.0914285714286,0.0914285714286,0.0830693877551,0.0830693877551,0.0123121590934,0.0123121590934
1,../letras/caracter585.png,../letras/caracter586.png,6242.4,0.694016532419,10404.0,0.491755835255,0.114285714286,0.617569621286,0.18,0.464664688277,0.0605714285714,0.711828265156,0.100952380952,0.505211556326,0.0914285714286,0.0628571428571,0.0830693877551,0.058906122449,0.0123121590934,0.0123121590934
1,../letras/caracter585.png,../letras/caracter575.png,10366.8428571,0.539968519695,16101.4285714,0.309636587252,0.127428571429,0.543402213033,0.192380952381,0.294031678449,0.0714285714286,0.601732922795,0.108571428571,0.396199188512,0.0914285714286,0.0954285714286,0.0830693877551,0.0863219591837,0.0123121590934,0.0123121590934
1,../letras/caracter585.png,../letras/caracter579.png,10812.7285714,0.540987315981,18021.2142857,0.289502020395,0.126857142857,0.567316013729,0.205714285714,0.277279502273,0.0794285714286,0.626227067271,0.132380952381,0.425325884441,0.0914285714286,0.141142857143,0.0830693877551,0.12122155102,0.0123121590934,0.0123121590934
1,../letras/caracter585.png,../letras/caracter577.png,8397.51428571,0.608143865991,13995.8571429,0.379917231265,0.141142857143,0.529106390227,0.190476190476,0.361990478912,0.0817142857143,0.624326689958,0.13619047619,0.412815247768,0.0914285714286,0.112,0.0830693877551,0.099456,0.0123121590934,0.0123121590934
1,../letras/caracter585.png,../letras/caracter583.png,5610.72857143,0.706987813126,9351.21428571,0.539212964207,0.106285714286,0.624910219083,0.167619047619,0.51076946949,0.0645714285714,0.697513585593,0.107619047619,0.504963754611,0.0914285714286,0.1,0.0830693877551,0.09,0.0123121590934,0.0123121590934
1,../letras/caracter585.png,../letras/caracter570.png,10701.2571429,0.559011362042,14553.2142857,0.402080451084,0.138285714286,0.516361358565,0.208571428571,0.292892172395,0.084,0.607595195175,0.12,0.433506661913,0.0914285714286,0.134857142857,0.0830693877551,0.116670693878,0.0123121590934,0.0123121590934
1,../letras/caracter585.png,../letras/caracter581.png,8657.61428571,0.567522232878,14429.3571429,0.329941329194,0.134857142857,0.517395088784,0.182857142857,0.40873642685,0.0725714285714,0.609689314517,0.120952380952,0.383223022164,0.0914285714286,0.101142857143,0.0830693877551,0.0909129795918,0.0123121590934,0.0123121590934
