resposta, char1, char2, MSE, ISS
1, letras/caracter407.png, letras/caracter400.png, 46223.4857143, 0.449936853871
1, letras/caracter407.png, letras/caracter408.png, 35336.4428571, 0.564370544052
1, letras/caracter407.png, letras/caracter403.png, 47486.8285714, 0.426236389673
1, letras/caracter407.png, letras/caracter401.png, 42247.6714286, 0.491924904228
1, letras/caracter407.png, letras/caracter405.png, 54175.1142857, 0.35150857778
1, letras/caracter407.png, letras/caracter402.png, 53654.9142857, 0.387815658445
1, letras/caracter407.png, letras/caracter409.png, 61272.1285714, 0.248193335147
1, letras/caracter407.png, letras/caracter399.png, 56701.8, 0.286839220915
1, letras/caracter407.png, letras/caracter404.png, 52614.5142857, 0.381236990422
1, letras/caracter407.png, letras/caracter406.png, 64764.9, 0.2556154506
1, letras/caracter407.png, letras/caracter410.png, 59748.6857143, 0.28466209317
1, letras/caracter601.png, letras/caracter607.png, 42136.2, 0.461651099691
1, letras/caracter601.png, letras/caracter613.png, 39460.8857143, 0.509035579395
1, letras/caracter601.png, letras/caracter598.png, 31992.3, 0.588010741528
1, letras/caracter601.png, letras/caracter600.png, 24375.0857143, 0.695626603061
1, letras/caracter601.png, letras/caracter612.png, 57519.2571429, 0.321995343344
1, letras/caracter601.png, letras/caracter603.png, 39349.4142857, 0.450318025626
1, letras/caracter601.png, letras/caracter605.png, 47932.7142857, 0.47688026626
1, letras/caracter601.png, letras/caracter616.png, 35782.3285714, 0.516384969976
1, letras/caracter601.png, letras/caracter610.png, 34556.1428571, 0.601728452966
1, letras/caracter601.png, letras/caracter611.png, 44365.6285714, 0.520507668181
1, letras/caracter601.png, letras/caracter604.png, 40166.8714286, 0.572580797956
1, letras/caracter601.png, letras/caracter597.png, 33144.1714286, 0.619945295372
1, letras/caracter601.png, letras/caracter599.png, 46260.6428571, 0.473891788116
1, letras/caracter601.png, letras/caracter606.png, 39386.5714286, 0.478592009302
1, letras/caracter601.png, letras/caracter608.png, 51834.2142857, 0.411561533474
1, letras/caracter601.png, letras/caracter609.png, 43250.9142857, 0.459366770901
1, letras/caracter601.png, letras/caracter602.png, 31323.4714286, 0.529342221228
1, letras/caracter601.png, letras/caracter614.png, 50273.6142857, 0.414741432476
1, letras/caracter601.png, letras/caracter615.png, 39572.3571429, 0.521306696701
1, letras/caracter48.png, letras/caracter40.png, 47932.7142857, 0.42291884879
1, letras/caracter48.png, letras/caracter52.png, 56107.2857143, 0.384135256894
1, letras/caracter48.png, letras/caracter44.png, 50273.6142857, 0.423806234458
1, letras/caracter48.png, letras/caracter47.png, 52280.1, 0.2926799412
1, letras/caracter48.png, letras/caracter41.png, 49716.2571429, 0.403195954052
1, letras/caracter48.png, letras/caracter45.png, 46037.7, 0.45392410198
1, letras/caracter48.png, letras/caracter39.png, 46780.8428571, 0.415815257586
1, letras/caracter48.png, letras/caracter35.png, 68777.8714286, 0.31918008756
1, letras/caracter48.png, letras/caracter42.png, 57965.1428571, 0.317677084308
1, letras/caracter48.png, letras/caracter38.png, 45814.7571429, 0.45012003267
1, letras/caracter48.png, letras/caracter43.png, 55921.5, 0.296828159281
1, letras/caracter48.png, letras/caracter51.png, 49158.9, 0.421110694751
1, letras/caracter48.png, letras/caracter37.png, 46706.5285714, 0.475585558504
1, letras/caracter48.png, letras/caracter36.png, 55847.1857143, 0.40626861177
1, letras/caracter48.png, letras/caracter33.png, 60306.0428571, 0.363393043681
1, letras/caracter48.png, letras/caracter46.png, 59154.1714286, 0.406466029723
1, letras/caracter48.png, letras/caracter50.png, 55289.8285714, 0.424573814677
1, letras/caracter48.png, letras/caracter34.png, 71118.7714286, 0.254075710545
1, letras/caracter48.png, letras/caracter53.png, 45257.4, 0.465398713598
1, letras/caracter48.png, letras/caracter49.png, 48267.1285714, 0.458382827431
1, letras/caracter48.png, letras/caracter54.png, 62758.4142857, 0.265709247638
1, letras/caracter400.png, letras/caracter407.png, 46223.4857143, 0.449936853871
1, letras/caracter400.png, letras/caracter408.png, 41430.2142857, 0.571836151899
1, letras/caracter400.png, letras/caracter403.png, 21699.7714286, 0.730441712172
1, letras/caracter400.png, letras/caracter401.png, 25601.2714286, 0.733247394016
1, letras/caracter400.png, letras/caracter405.png, 31509.2571429, 0.607714620457
1, letras/caracter400.png, letras/caracter402.png, 32252.4, 0.64248406991
1, letras/caracter400.png, letras/caracter409.png, 57184.8428571, 0.351480024844
1, letras/caracter400.png, letras/caracter399.png, 53952.1714286, 0.39168651336
1, letras/caracter400.png, letras/caracter404.png, 36191.0571429, 0.589830234875
1, letras/caracter400.png, letras/caracter406.png, 51462.6428571, 0.459441615223
1, letras/caracter400.png, letras/caracter410.png, 43325.2285714, 0.425136096156
1, letras/caracter372.png, letras/caracter370.png, 78401.5714286, 0.253878031255
1, letras/caracter372.png, letras/caracter376.png, 68146.2, 0.321179106418
1, letras/caracter372.png, letras/caracter379.png, 70487.1, 0.248428981521
1, letras/caracter372.png, letras/caracter371.png, 40947.1714286, 0.524310240682
1, letras/caracter372.png, letras/caracter373.png, 67254.4285714, 0.27256361352
1, letras/caracter372.png, letras/caracter375.png, 68257.6714286, 0.34043793023
1, letras/caracter372.png, letras/caracter374.png, 57222.0, 0.414280379621
1, letras/caracter372.png, letras/caracter378.png, 71378.8714286, 0.324081561607
1, letras/caracter372.png, letras/caracter377.png, 70710.0428571, 0.243458635715
1, letras/caracter372.png, letras/caracter369.png, 66920.0142857, 0.337406900049
1, letras/caracter368.png, letras/caracter363.png, 32661.1285714, 0.555915794635
1, letras/caracter368.png, letras/caracter364.png, 49604.7857143, 0.384607467223
1, letras/caracter368.png, letras/caracter361.png, 48824.4857143, 0.421647802094
1, letras/caracter368.png, letras/caracter362.png, 45480.3428571, 0.37017940145
1, letras/caracter368.png, letras/caracter367.png, 58076.6142857, 0.299574559612
1, letras/caracter368.png, letras/caracter365.png, 53840.7, 0.350699386406
1, letras/caracter368.png, letras/caracter366.png, 56961.9, 0.324697971614
1, letras/caracter80.png, letras/caracter78.png, 43808.2714286, 0.525226257242
1, letras/caracter80.png, letras/caracter67.png, 53617.7571429, 0.398338932166
1, letras/caracter80.png, letras/caracter79.png, 41244.4285714, 0.497140833207
